Maths,Reading,Class.Type,Teaching.Experience,Sex,FreeLunch,Race
463,402,small.class,12,girl,yes,white
500,428,regular,6,girl,no,white
463,413,regular,12,boy,no,white
468,443,regular,18,boy,yes,white
434,418,regular.with.aide,14,boy,yes,white
418,403,small.class,2,boy,yes,white
484,442,small.class,11,girl,yes,white
528,443,small.class,1,girl,yes,black
494,410,regular.with.aide,17,boy,no,black
439,403,regular.with.aide,0,girl,yes,black
489,433,small.class,17,boy,yes,white
528,422,regular,0,boy,no,white
536,434,regular.with.aide,27,boy,no,white
468,433,small.class,13,girl,yes,black
559,440,small.class,17,girl,no,white
559,461,regular,20,boy,no,white
459,413,regular.with.aide,17,girl,no,white
559,445,small.class,4,boy,yes,white
536,507,regular.with.aide,3,boy,no,white
576,490,small.class,15,girl,no,white
536,451,regular,6,girl,no,white
536,474,regular,10,girl,no,white
429,414,regular.with.aide,22,boy,yes,black
423,400,small.class,4,boy,no,white
489,468,regular,16,girl,no,white
399,386,regular,8,boy,no,white
478,424,regular,6,boy,yes,black
473,430,regular.with.aide,8,girl,yes,white
520,453,regular,15,girl,yes,white
528,456,regular,10,boy,no,black
576,451,small.class,15,boy,no,white
484,440,small.class,8,girl,no,white
459,445,small.class,10,girl,yes,white
468,445,regular.with.aide,14,girl,no,white
468,402,regular.with.aide,9,girl,yes,white
484,414,regular.with.aide,12,girl,no,white
478,421,regular,3,girl,no,white
449,408,small.class,6,girl,yes,black
454,393,regular.with.aide,1,girl,yes,black
429,398,small.class,6,boy,yes,black
513,450,small.class,1,girl,no,white
468,445,regular.with.aide,8,girl,no,white
500,424,regular,13,boy,yes,white
500,467,regular.with.aide,10,girl,no,white
459,400,small.class,13,boy,no,white
513,434,small.class,9,girl,yes,white
418,390,regular.with.aide,5,girl,yes,white
473,416,regular.with.aide,13,girl,no,white
449,425,regular,8,girl,yes,white
463,470,regular,6,girl,yes,black
459,472,regular,11,girl,yes,white
528,428,regular,8,boy,no,white
489,470,regular.with.aide,20,girl,yes,black
559,439,regular,8,boy,yes,white
494,430,regular.with.aide,5,girl,no,white
506,467,regular.with.aide,9,boy,no,black
536,470,regular.with.aide,10,girl,yes,white
494,434,regular,18,girl,yes,black
484,434,regular.with.aide,10,boy,no,black
412,397,small.class,3,boy,yes,black
559,445,small.class,12,boy,no,white
506,421,regular.with.aide,3,girl,no,white
489,408,small.class,5,girl,yes,black
547,565,regular.with.aide,9,boy,no,white
500,428,small.class,6,girl,no,white
473,390,regular.with.aide,12,girl,no,black
434,405,regular,8,girl,yes,white
489,447,small.class,10,girl,no,white
444,407,small.class,8,boy,yes,white
418,414,regular.with.aide,22,girl,yes,black
489,434,regular,2,boy,no,white
576,456,regular,11,girl,yes,black
463,418,regular,0,boy,yes,black
473,433,regular,14,girl,yes,white
489,465,regular.with.aide,20,girl,yes,black
459,434,regular.with.aide,1,boy,yes,black
520,427,regular,0,boy,no,white
484,437,regular.with.aide,7,girl,yes,black
513,503,small.class,7,boy,no,white
468,442,regular,7,boy,yes,black
478,414,regular.with.aide,15,boy,yes,black
418,421,regular.with.aide,7,boy,no,black
513,421,regular,0,girl,yes,black
506,431,small.class,21,girl,no,white
576,450,regular,0,boy,yes,black
459,425,regular.with.aide,12,girl,no,black
520,428,small.class,12,boy,yes,white
576,456,regular.with.aide,20,girl,yes,white
559,605,regular.with.aide,5,boy,no,white
412,416,regular.with.aide,10,girl,yes,black
489,395,regular.with.aide,11,boy,yes,white
528,467,regular,12,girl,yes,black
444,390,regular.with.aide,9,boy,yes,black
454,413,regular,0,boy,no,other
500,440,regular.with.aide,1,girl,no,black
444,410,small.class,1,boy,no,white
478,445,regular.with.aide,9,girl,yes,white
536,453,small.class,5,boy,no,white
513,483,small.class,3,girl,yes,black
478,407,regular.with.aide,8,girl,no,black
468,411,small.class,1,girl,yes,black
463,397,regular,2,boy,yes,white
547,455,regular.with.aide,17,boy,no,other
484,413,regular.with.aide,13,girl,no,white
468,407,regular.with.aide,9,girl,yes,white
468,402,regular.with.aide,8,boy,no,white
449,424,regular.with.aide,13,girl,yes,white
489,440,regular.with.aide,9,girl,yes,white
478,421,regular,10,boy,yes,white
559,554,regular,14,girl,no,white
484,439,regular.with.aide,10,girl,yes,black
449,411,regular,2,boy,yes,black
454,425,small.class,1,boy,no,black
478,427,regular.with.aide,7,boy,no,black
454,439,regular.with.aide,9,boy,no,white
484,458,small.class,4,boy,no,white
484,430,regular.with.aide,9,girl,no,white
454,408,regular,11,boy,yes,black
429,407,small.class,1,girl,yes,black
513,433,regular,0,boy,yes,white
473,436,regular,0,boy,yes,white
423,418,small.class,3,girl,no,black
463,443,regular,15,girl,yes,black
478,403,small.class,3,girl,yes,black
459,419,regular,13,girl,no,white
459,408,regular.with.aide,10,girl,yes,white
478,433,regular,3,boy,no,black
423,411,regular.with.aide,3,boy,no,white
559,503,regular,10,boy,no,white
449,463,regular,11,girl,yes,white
463,388,regular.with.aide,3,girl,no,white
449,414,regular.with.aide,5,boy,no,white
459,390,regular.with.aide,11,boy,no,white
454,413,small.class,12,boy,yes,white
494,470,regular.with.aide,14,boy,yes,white
434,405,regular.with.aide,6,boy,yes,black
547,442,small.class,11,boy,no,black
429,393,regular,8,girl,yes,white
494,418,regular.with.aide,18,girl,no,white
500,443,regular,16,girl,no,white
468,428,regular.with.aide,1,boy,yes,black
444,410,regular,15,boy,no,white
500,437,regular,10,girl,yes,white
506,461,regular.with.aide,20,boy,no,black
528,472,regular,1,boy,yes,white
506,434,small.class,9,boy,yes,black
439,427,small.class,15,boy,no,white
559,453,regular,8,boy,yes,white
478,418,regular,4,girl,yes,black
494,445,regular,4,girl,yes,white
484,463,small.class,16,boy,no,black
484,437,regular,13,girl,no,white
468,411,regular,4,boy,yes,white
528,434,small.class,9,boy,yes,white
439,433,regular,13,girl,no,black
506,456,regular.with.aide,1,girl,yes,black
459,398,regular,9,girl,no,black
559,463,regular,4,boy,yes,white
576,470,small.class,12,boy,yes,black
439,411,regular,11,boy,no,white
500,413,small.class,1,girl,yes,black
520,440,regular.with.aide,8,girl,no,white
459,395,regular,2,girl,yes,black
489,434,small.class,11,boy,no,white
528,492,regular,13,boy,no,white
559,465,small.class,14,girl,yes,white
473,448,small.class,6,girl,yes,white
405,411,regular,11,boy,no,white
602,518,regular,12,girl,no,white
484,422,small.class,6,boy,yes,white
547,470,small.class,4,boy,no,white
484,443,regular.with.aide,15,boy,yes,black
449,428,regular.with.aide,5,girl,yes,white
454,397,small.class,9,boy,yes,black
459,390,small.class,1,boy,no,white
473,418,regular.with.aide,1,boy,yes,black
484,470,regular,10,boy,yes,black
513,431,regular.with.aide,3,girl,yes,white
536,580,small.class,12,girl,no,black
478,456,small.class,8,girl,no,white
513,433,regular.with.aide,21,girl,no,black
473,403,small.class,12,girl,no,white
473,408,small.class,15,boy,no,white
478,416,regular.with.aide,8,girl,yes,white
484,443,regular,1,girl,yes,black
459,421,small.class,20,boy,no,white
536,442,small.class,6,boy,no,white
528,424,regular.with.aide,9,girl,yes,white
484,421,regular,9,boy,no,black
494,450,regular,5,boy,no,white
418,397,regular.with.aide,6,boy,yes,black
439,450,regular,0,girl,yes,black
473,410,regular,4,boy,yes,black
626,510,small.class,14,girl,no,white
423,418,regular,12,boy,yes,black
444,408,regular.with.aide,22,girl,yes,black
500,467,small.class,2,girl,no,white
444,424,regular.with.aide,13,boy,yes,white
468,436,regular,8,boy,no,white
536,447,regular,6,girl,yes,black
494,468,small.class,3,boy,no,white
473,430,small.class,15,girl,no,white
454,388,regular.with.aide,12,boy,yes,black
449,422,regular.with.aide,2,girl,yes,white
463,424,regular.with.aide,9,boy,no,white
489,442,regular,17,girl,no,white
429,418,small.class,14,boy,no,white
454,447,regular.with.aide,17,girl,no,white
536,485,regular,15,girl,no,white
468,407,regular.with.aide,6,boy,yes,black
500,431,regular.with.aide,8,girl,no,white
484,448,regular.with.aide,9,boy,yes,white
547,450,regular,4,girl,yes,black
536,465,regular.with.aide,13,girl,no,white
454,408,regular,3,boy,no,white
463,431,regular.with.aide,13,girl,no,white
473,434,regular.with.aide,5,boy,yes,black
489,434,small.class,11,girl,no,white
528,465,small.class,7,girl,yes,white
489,407,regular,10,girl,yes,black
478,431,small.class,12,girl,no,white
473,393,regular,9,boy,no,black
320,360,regular,6,girl,yes,black
463,408,regular,1,boy,no,white
602,518,small.class,3,boy,yes,black
500,436,regular,1,girl,no,white
444,403,regular,0,boy,yes,black
528,485,small.class,8,girl,no,white
536,448,small.class,6,boy,no,white
536,467,regular,11,boy,no,white
473,428,regular,15,girl,yes,black
513,465,regular,10,boy,yes,black
513,492,regular.with.aide,3,girl,no,white
399,400,regular,5,boy,no,white
434,398,regular,9,boy,yes,white
520,470,regular,11,girl,no,white
506,424,regular,5,boy,no,white
626,580,regular.with.aide,13,girl,no,white
468,421,small.class,13,girl,yes,white
536,461,regular,24,girl,yes,black
459,427,regular,13,boy,no,white
473,443,small.class,7,boy,no,white
547,497,regular.with.aide,11,girl,yes,black
520,425,small.class,8,boy,no,white
412,408,small.class,5,girl,no,white
513,450,regular.with.aide,7,girl,no,white
520,456,regular.with.aide,14,girl,yes,white
494,439,small.class,4,boy,yes,white
506,456,regular.with.aide,17,boy,no,white
536,418,small.class,9,boy,no,black
478,430,regular,17,girl,no,white
478,424,small.class,8,boy,no,white
500,400,small.class,11,girl,yes,white
459,424,small.class,15,boy,no,white
478,410,regular.with.aide,13,boy,no,white
484,411,small.class,2,girl,yes,black
484,425,small.class,8,boy,no,white
559,495,regular.with.aide,10,boy,no,white
520,456,small.class,4,boy,no,white
513,453,small.class,0,boy,no,white
520,476,regular.with.aide,18,boy,no,white
494,437,regular.with.aide,0,boy,no,black
473,419,regular,4,boy,no,black
478,428,small.class,12,girl,yes,black
459,522,regular.with.aide,5,boy,no,white
500,472,small.class,4,girl,no,white
513,470,small.class,3,boy,yes,black
484,443,small.class,21,boy,no,black
506,453,regular.with.aide,12,boy,no,white
454,431,regular,5,boy,no,white
468,433,regular.with.aide,22,boy,yes,black
576,485,regular.with.aide,14,boy,no,white
484,458,regular,3,boy,no,white
449,421,small.class,12,girl,yes,black
459,431,regular,15,girl,yes,black
439,391,small.class,7,boy,yes,white
459,416,regular,0,boy,yes,white
494,445,regular,4,girl,yes,black
478,407,regular.with.aide,3,girl,yes,black
365,397,regular.with.aide,17,boy,yes,black
449,448,regular.with.aide,14,boy,yes,white
478,455,small.class,13,girl,no,white
454,413,small.class,2,girl,yes,black
454,422,regular.with.aide,8,girl,no,white
468,440,regular.with.aide,21,girl,yes,white
513,455,regular,2,girl,yes,white
423,393,regular,4,boy,no,black
559,437,regular,10,boy,yes,black
478,425,regular,17,girl,no,white
399,390,regular.with.aide,8,boy,yes,white
494,437,small.class,6,boy,no,white
423,422,regular.with.aide,11,boy,no,white
473,436,regular,24,girl,yes,black
459,414,small.class,6,boy,yes,white
559,495,regular.with.aide,24,boy,yes,black
576,455,regular.with.aide,21,girl,no,white
494,418,small.class,2,boy,yes,black
602,497,small.class,18,boy,no,white
500,425,small.class,8,boy,no,white
449,451,regular,2,boy,yes,white
494,442,regular,12,boy,no,white
484,456,regular.with.aide,12,girl,yes,black
489,413,regular.with.aide,1,boy,yes,black
439,413,regular,5,boy,yes,white
489,425,regular,5,boy,no,white
444,411,regular,4,boy,yes,white
506,448,small.class,8,boy,yes,white
528,425,regular,0,girl,yes,black
412,393,regular,13,girl,yes,white
418,410,regular.with.aide,2,boy,yes,black
459,398,small.class,6,boy,yes,white
489,434,regular,9,boy,no,black
434,425,small.class,27,girl,yes,white
559,424,regular,19,boy,no,white
478,430,regular,7,boy,yes,black
626,470,small.class,3,boy,yes,black
626,565,small.class,14,boy,no,white
473,421,small.class,1,girl,no,white
513,538,regular,10,boy,no,white
418,397,regular,6,girl,yes,black
454,410,regular,6,girl,no,white
602,455,small.class,9,girl,no,white
463,407,regular.with.aide,15,girl,no,white
559,510,regular.with.aide,13,boy,no,white
520,442,small.class,11,boy,yes,black
468,450,regular.with.aide,9,boy,no,white
500,439,regular,16,boy,no,white
547,461,small.class,2,boy,yes,black
559,518,regular.with.aide,24,boy,no,black
506,434,small.class,15,girl,no,white
473,451,regular.with.aide,27,girl,no,white
459,419,small.class,12,boy,no,white
418,400,regular,10,boy,yes,black
468,421,regular.with.aide,3,girl,yes,black
473,408,regular,2,girl,yes,white
423,388,regular.with.aide,12,girl,yes,white
536,451,regular,15,boy,no,white
449,418,regular.with.aide,2,girl,yes,black
484,419,regular.with.aide,1,boy,yes,black
429,410,regular,16,girl,yes,white
468,414,small.class,12,boy,yes,white
494,453,regular,13,girl,no,white
520,470,regular,8,boy,yes,white
365,391,small.class,9,girl,yes,black
576,455,regular,0,boy,no,white
449,397,regular,11,boy,no,white
473,431,regular,3,boy,no,white
449,439,regular.with.aide,5,boy,no,white
489,442,regular.with.aide,1,girl,yes,black
547,447,small.class,11,boy,yes,black
412,410,small.class,3,boy,no,white
602,497,regular.with.aide,13,boy,no,white
559,474,regular.with.aide,27,girl,yes,white
513,439,regular,5,boy,no,white
384,358,regular,20,boy,yes,white
429,413,regular,5,boy,no,white
449,411,regular.with.aide,7,boy,yes,white
484,416,regular.with.aide,17,boy,no,white
484,447,regular,1,girl,no,white
513,448,regular,6,boy,no,white
494,445,regular,0,boy,no,white
484,422,small.class,12,boy,yes,white
439,403,regular.with.aide,15,girl,no,white
536,470,regular,12,boy,no,white
500,442,regular,8,girl,no,white
463,414,small.class,14,girl,yes,black
494,427,regular.with.aide,12,boy,no,white
513,451,regular.with.aide,10,boy,no,white
528,476,regular,3,boy,no,white
418,391,regular.with.aide,12,boy,yes,white
489,418,small.class,10,girl,no,black
520,443,regular.with.aide,9,boy,no,white
500,437,regular,1,girl,yes,white
454,414,regular.with.aide,11,boy,yes,black
434,434,small.class,2,boy,yes,white
444,397,regular,2,boy,yes,white
494,451,regular.with.aide,2,girl,yes,white
399,380,regular.with.aide,11,boy,yes,black
429,400,small.class,1,girl,yes,black
489,450,small.class,0,boy,no,white
484,416,small.class,4,girl,yes,white
494,451,regular.with.aide,20,boy,yes,black
547,436,small.class,12,boy,yes,white
520,472,small.class,16,boy,no,white
500,447,regular,16,girl,no,white
473,407,regular,3,boy,no,white
439,442,regular,15,girl,no,white
478,439,regular,12,boy,yes,black
547,450,small.class,6,girl,yes,white
513,470,regular,0,boy,no,black
489,431,regular.with.aide,11,girl,no,white
500,431,regular.with.aide,11,girl,no,white
439,442,regular,0,girl,no,black
439,393,regular.with.aide,3,girl,no,white
484,414,regular.with.aide,5,boy,yes,black
429,400,regular.with.aide,3,boy,yes,white
520,455,regular,1,girl,yes,black
520,427,regular.with.aide,12,boy,no,white
449,405,regular,5,girl,yes,black
489,427,small.class,20,boy,yes,black
500,465,regular,6,boy,no,white
478,440,regular.with.aide,9,girl,no,white
463,413,regular.with.aide,13,boy,no,white
444,424,regular.with.aide,14,girl,yes,white
528,440,regular,24,boy,yes,black
506,443,regular,12,girl,no,white
449,424,regular.with.aide,6,girl,yes,black
602,451,regular.with.aide,14,girl,no,white
494,427,regular,1,boy,yes,black
478,431,regular,8,girl,no,white
500,461,regular,13,boy,no,white
439,439,regular.with.aide,7,boy,no,white
463,416,regular.with.aide,0,boy,yes,black
454,421,regular,3,girl,no,white
429,391,regular.with.aide,9,girl,yes,white
559,490,small.class,14,boy,yes,white
459,424,small.class,17,girl,yes,white
478,437,regular,24,girl,yes,black
559,463,regular,11,boy,no,white
468,411,small.class,11,boy,no,black
412,388,regular.with.aide,7,boy,yes,white
468,421,regular,13,girl,yes,white
478,421,regular.with.aide,22,boy,yes,black
439,418,small.class,14,girl,yes,black
439,418,regular.with.aide,21,boy,yes,white
520,451,regular.with.aide,6,boy,no,white
506,414,regular.with.aide,17,girl,yes,black
444,433,regular,7,boy,yes,black
412,395,regular,4,girl,yes,white
468,437,regular,2,boy,yes,black
439,416,small.class,21,girl,yes,black
463,424,regular.with.aide,7,boy,no,black
473,403,small.class,6,girl,yes,white
468,467,small.class,16,girl,no,white
494,439,regular,2,boy,yes,white
429,422,regular.with.aide,9,girl,yes,white
513,433,regular,12,boy,no,white
463,407,regular.with.aide,17,boy,no,black
513,474,regular,0,girl,no,white
500,433,regular,1,boy,no,black
513,436,regular.with.aide,6,boy,no,white
459,407,small.class,12,boy,yes,white
513,442,small.class,0,boy,no,white
500,437,small.class,13,boy,no,white
429,398,small.class,3,girl,yes,black
439,407,regular,3,boy,no,white
429,407,regular.with.aide,6,boy,yes,black
536,450,regular,1,boy,no,white
459,448,small.class,16,boy,no,white
459,447,regular.with.aide,17,girl,yes,black
439,419,regular,13,girl,no,white
434,397,regular,5,boy,yes,black
494,437,small.class,12,girl,no,white
473,487,regular.with.aide,20,girl,yes,black
449,402,regular,12,girl,yes,black
463,434,small.class,8,girl,no,white
602,461,regular,24,boy,yes,black
494,478,regular.with.aide,14,girl,yes,white
506,460,small.class,14,boy,no,white
528,436,regular.with.aide,14,girl,yes,white
506,421,small.class,12,boy,yes,white
429,425,small.class,11,boy,yes,black
459,434,regular.with.aide,12,girl,yes,white
506,487,small.class,14,boy,no,white
484,434,regular,1,girl,yes,white
412,370,small.class,15,girl,no,white
494,422,regular,1,boy,yes,black
547,442,regular.with.aide,14,boy,no,white
463,419,regular,18,girl,yes,white
412,422,regular,11,girl,yes,black
412,397,regular,6,boy,yes,black
418,398,regular.with.aide,5,boy,no,white
547,507,regular,12,girl,no,white
536,461,regular,10,boy,no,white
439,402,small.class,7,boy,no,white
520,439,small.class,6,girl,yes,white
478,434,regular.with.aide,13,boy,no,white
513,418,small.class,12,girl,yes,white
528,443,regular,0,girl,no,black
547,456,regular,19,girl,no,white
520,468,small.class,3,girl,yes,white
520,436,regular,5,boy,no,white
454,421,regular,18,girl,yes,black
439,408,small.class,8,boy,no,white
439,400,regular,8,girl,no,white
449,422,small.class,12,boy,yes,white
536,458,regular,8,girl,no,white
494,430,small.class,8,boy,yes,white
478,425,regular.with.aide,8,boy,no,white
489,463,regular.with.aide,13,girl,no,white
444,431,regular.with.aide,9,girl,no,white
559,487,regular,10,girl,yes,white
473,416,regular,10,girl,yes,white
500,408,regular.with.aide,21,girl,no,black
463,407,small.class,15,boy,no,white
602,480,regular.with.aide,13,girl,no,white
459,416,regular,6,boy,no,white
468,442,regular,0,girl,yes,white
520,447,regular.with.aide,13,boy,no,white
449,456,regular.with.aide,11,boy,no,white
423,407,regular,6,boy,yes,black
494,465,regular,15,girl,yes,white
463,421,regular,20,girl,no,black
459,431,regular.with.aide,1,girl,yes,black
468,421,small.class,3,girl,yes,white
489,453,regular.with.aide,0,boy,yes,black
478,391,regular.with.aide,10,boy,yes,white
463,453,regular.with.aide,11,boy,yes,black
418,408,regular,11,boy,yes,black
494,456,small.class,8,girl,yes,white
547,476,regular,10,girl,no,white
489,416,small.class,2,boy,yes,white
454,427,regular,5,boy,no,white
500,421,regular.with.aide,4,boy,no,white
468,408,regular,5,boy,yes,black
536,440,regular.with.aide,5,girl,no,white
602,503,small.class,14,boy,no,white
484,421,regular,22,boy,no,white
463,424,small.class,11,boy,no,white
449,398,regular,10,girl,no,white
500,419,regular.with.aide,17,boy,no,black
434,422,regular.with.aide,10,boy,no,white
528,428,regular,20,girl,yes,white
478,448,small.class,5,boy,yes,black
500,458,regular.with.aide,10,boy,yes,white
559,458,small.class,9,boy,no,white
506,450,regular.with.aide,12,boy,no,white
506,460,small.class,14,boy,no,white
473,439,regular.with.aide,16,boy,yes,black
473,430,small.class,16,boy,yes,white
423,400,small.class,21,girl,no,white
528,450,regular.with.aide,12,boy,no,white
576,485,regular.with.aide,17,boy,no,white
405,391,regular,18,boy,no,black
473,434,regular,6,girl,yes,black
463,430,regular,9,boy,yes,black
459,411,regular.with.aide,2,girl,no,white
423,382,regular,13,boy,no,white
513,532,regular.with.aide,20,girl,no,white
513,443,regular,0,boy,no,white
506,450,regular.with.aide,14,girl,no,white
528,468,small.class,2,boy,yes,black
459,410,small.class,8,boy,yes,white
463,421,regular.with.aide,17,boy,no,white
429,408,regular.with.aide,5,boy,yes,black
489,428,small.class,13,girl,no,black
576,460,regular.with.aide,10,girl,yes,black
478,410,regular.with.aide,3,girl,yes,white
489,410,regular.with.aide,3,boy,yes,white
429,416,regular.with.aide,14,girl,no,white
449,408,regular.with.aide,15,girl,no,white
489,419,regular.with.aide,20,boy,yes,white
454,434,small.class,11,boy,no,white
528,465,small.class,8,girl,no,white
484,422,regular,8,boy,no,white
602,472,small.class,4,boy,no,white
513,450,regular,4,girl,no,white
439,395,regular.with.aide,10,boy,yes,white
513,474,small.class,11,girl,no,white
473,430,small.class,15,girl,no,white
494,442,regular.with.aide,14,girl,no,white
528,430,regular,5,boy,yes,white
418,393,small.class,5,boy,yes,black
468,416,regular.with.aide,7,boy,no,white
528,448,regular.with.aide,11,boy,no,white
384,382,regular,13,boy,no,white
449,430,regular,11,girl,yes,white
454,422,small.class,8,boy,no,white
439,424,regular,5,boy,yes,white
489,425,regular,20,girl,no,white
520,487,small.class,3,boy,yes,black
434,419,regular.with.aide,1,girl,yes,black
405,405,small.class,6,boy,yes,white
468,434,regular,15,girl,no,black
506,433,regular,5,girl,yes,black
576,460,small.class,4,girl,no,white
484,443,small.class,1,boy,yes,black
494,458,regular.with.aide,1,boy,yes,black
489,445,small.class,13,boy,no,white
454,448,regular.with.aide,9,boy,no,white
576,472,regular,7,girl,yes,black
484,445,small.class,7,girl,no,white
559,483,regular,3,boy,no,white
463,419,regular.with.aide,5,boy,yes,black
449,422,regular,11,girl,yes,white
528,453,regular,10,girl,yes,white
520,487,regular,0,girl,yes,black
500,448,small.class,10,boy,yes,white
478,450,small.class,17,boy,no,white
434,419,small.class,10,girl,yes,white
478,433,small.class,15,boy,yes,white
626,483,regular.with.aide,5,girl,no,black
484,443,regular.with.aide,17,boy,yes,black
459,410,small.class,1,girl,yes,black
576,492,regular,16,boy,yes,white
536,465,regular.with.aide,17,girl,no,white
449,414,regular,6,boy,yes,white
536,461,regular.with.aide,3,girl,yes,white
449,413,regular.with.aide,17,boy,yes,black
484,424,regular,13,girl,no,white
513,448,small.class,12,girl,no,white
494,408,regular,4,girl,no,white
528,416,regular.with.aide,5,girl,yes,white
439,403,regular,4,girl,yes,black
536,467,small.class,11,boy,no,white
478,437,regular.with.aide,8,girl,no,white
439,405,small.class,8,girl,no,white
468,419,regular.with.aide,12,boy,yes,white
576,467,regular,0,girl,no,white
536,492,regular,16,girl,yes,white
547,455,small.class,10,girl,no,white
423,378,small.class,6,boy,yes,white
528,451,regular.with.aide,15,girl,yes,black
484,419,regular,3,boy,no,white
449,434,regular.with.aide,13,girl,no,white
547,442,regular.with.aide,5,boy,yes,black
429,424,regular.with.aide,5,girl,yes,black
405,395,regular.with.aide,11,girl,yes,black
454,413,small.class,5,girl,no,white
513,413,regular,11,girl,no,white
484,424,small.class,22,boy,yes,white
536,455,small.class,9,boy,no,white
463,428,regular.with.aide,12,boy,yes,white
547,424,regular.with.aide,8,girl,no,white
449,388,regular.with.aide,5,girl,yes,white
489,443,regular,3,girl,no,white
547,468,small.class,15,girl,no,black
418,378,regular,13,boy,yes,white
547,458,regular,13,girl,no,white
463,407,regular,13,boy,yes,white
513,433,small.class,6,boy,yes,black
463,421,small.class,13,girl,yes,black
536,461,regular,8,girl,no,white
520,405,regular,0,boy,yes,black
576,538,regular.with.aide,11,girl,yes,white
494,470,small.class,8,girl,no,white
500,465,small.class,4,boy,no,white
626,474,regular,15,girl,no,white
494,455,regular.with.aide,20,girl,no,white
405,398,small.class,2,boy,yes,black
520,433,small.class,9,boy,yes,black
559,430,regular.with.aide,8,girl,no,white
423,400,regular.with.aide,16,girl,yes,black
489,440,small.class,3,boy,yes,black
439,407,regular.with.aide,9,girl,yes,white
547,427,small.class,1,boy,yes,black
478,443,regular.with.aide,9,boy,no,white
489,500,regular.with.aide,0,boy,no,black
500,442,regular,2,girl,no,white
449,425,regular,13,boy,yes,white
494,434,regular.with.aide,15,girl,yes,white
412,393,small.class,12,boy,no,white
468,410,regular,6,boy,yes,white
423,408,regular.with.aide,10,girl,yes,black
506,418,regular.with.aide,12,boy,no,white
489,478,small.class,7,girl,no,white
536,443,regular,13,boy,yes,white
449,439,regular,13,boy,no,white
500,443,regular,0,boy,no,white
576,476,regular,11,girl,no,white
392,397,regular.with.aide,10,boy,yes,black
576,470,small.class,3,girl,yes,black
626,538,small.class,13,girl,yes,black
528,447,regular.with.aide,11,boy,no,white
423,388,regular,1,boy,yes,white
